iter	Passed	Remaining
403	8906	13138
404	8927	13115
405	8953	13098
406	8981	13085
407	8998	13057
408	9019	13032
409	9037	13005
410	9056	12979
411	9074	12951
412	9095	12928
413	9115	12902
414	9137	12880
415	9157	12856
416	9179	12833
417	9196	12804
418	9216	12779
419	9237	12755
420	9255	12729
421	9277	12706
422	9296	12681
423	9316	12656
424	9338	12634
425	9362	12614
426	9385	12594
427	9403	12566
428	9420	12539
429	9439	12513
430	9460	12489
431	9479	12463
432	9499	12438
433	9515	12410
434	9534	12384
435	9554	12358
436	9574	12334
437	9595	12312
438	9617	12290
439	9634	12261
440	9654	12238
441	9672	12210
442	9693	12187
443	9714	12164
444	9734	12141
445	9754	12115
446	9771	12088
447	9788	12060
448	9810	12039
449	9830	12014
450	9849	11989
451	9868	11963
452	9886	11938
453	9906	11914
454	9926	11889
455	9946	11865
456	9964	11839
457	9984	11816
458	10002	11789
459	10023	11767
460	10044	11744
461	10068	11724
462	10090	11702
463	10112	11681
464	10130	11655
465	10149	11630
466	10169	11606
467	10189	11582
468	10207	11556
469	10226	11532
470	10249	11511
471	10274	11493
472	10292	11467
473	10313	11445
474	10331	11419
475	10348	11391
476	10367	11367
477	10385	11341
478	10404	11316
479	10429	11298
480	10448	11274
481	10472	11254
482	10494	11233
483	10514	11209
484	10533	11185
485	10553	11161
486	10572	11136
487	10590	11111
488	10611	11088
489	10631	11065
490	10650	11040
491	10670	11017
492	10691	10995
493	10714	10974
494	10732	10949
495	10750	10923
496	10769	10899
497	10788	10875
498	10815	10858
499	10832	10832
500	10851	10807
501	10867	10781
502	10887	10757
503	10908	10735
504	10928	10711
505	10951	10692
506	10972	10669
507	10990	10644
508	11011	10622
509	11030	10598
510	11050	10574
511	11069	10550
512	11087	10525
513	11113	10508
514	11137	10488
515	11159	10467
516	11176	10441
517	11194	10416
518	11212	10391
519	11233	10369
520	11254	10347
521	11277	10326
522	11297	10303
523	11316	10279
524	11335	10255
525	11355	10233
526	11375	10210
527	11393	10185
528	11416	10165
529	11434	10140
530	11453	10116
531	11471	10091
532	11491	10068
533	11511	10045
534	11527	10019
535	11545	9994
536	11564	9970
537	11584	9948
538	11603	9924
539	11623	9901
540	11643	9878
541	11665	9857
542	11686	9835
543	11706	9812
544	11726	9789
545	11746	9767
546	11766	9744
547	11786	9721
548	11806	9698
549	11827	9677
550	11847	9654
551	11866	9631
552	11886	9608
553	11905	9584
554	11923	9560
555	11941	9536
556	11959	9511
557	11979	9489
558	12001	9468
559	12022	9445
560	12041	9422
561	12062	9401
562	12081	9377
563	12101	9354
564	12120	9331
565	12138	9307
566	12154	9281
567	12173	9259
568	12194	9236
569	12214	9214
570	12236	9193
571	12256	9170
572	12278	9150
573	12299	9128
574	12320	9106
575	12342	9085
576	12362	9062
577	12381	9039
578	12400	9016
579	12417	8992
580	12436	8968
581	12455	8945
582	12478	8925
583	12498	8903
584	12518	8880
585	12536	8856
586	12556	8834
587	12579	8814
588	12600	8792
589	12618	8769
590	12636	8745
591	12656	8722
592	12674	8699
593	12695	8677
594	12712	8653
595	12730	8629
596	12747	8605
597	12765	8581
598	12786	8559
599	12805	8537
600	12826	8515
601	12844	8491
602	12861	8467
603	12878	8443
604	12895	8419
605	12914	8396
606	12933	8373
607	12951	8350
608	12969	8326
609	12990	8305
610	13012	8284
611	13031	8261
612	13052	8240
613	13070	8217
614	13091	8195
615	13114	8175
616	13133	8152
617	13157	8132
618	13178	8111
619	13198	8089
620	13227	8072
621	13260	8058
622	13289	8041
623	13317	8024
624	13347	8008
625	13374	7990
626	13393	7967
627	13413	7945
628	13438	7926
629	13461	7906
630	13481	7883
631	13499	7860
632	13519	7838
633	13538	7815
634	13556	7792
635	13574	7769
636	13594	7746
637	13613	7724
638	13630	7700
639	13649	7678
640	13676	7659
641	13696	7637
642	13715	7615
643	13737	7594
644	13756	7571
645	13773	7547
646	13792	7524
647	13811	7502
648	13831	7480
649	13847	7456
650	13867	7434
651	13891	7414
652	13910	7391
653	13930	7370
654	13954	7349
655	13976	7329
656	13995	7306
657	14015	7284
658	14033	7261
659	14054	7240
660	14074	7218
661	14093	7195
662	14115	7174
663	14139	7155
664	14160	7133
665	14181	7111
666	14202	7090
667	14221	7068
668	14241	7046
669	14259	7023
670	14276	7000
671	14296	6978
672	14327	6961
673	14355	6943
674	14377	6922
675	14399	6901
676	14421	6880
677	14442	6859
678	14463	6837
679	14484	6816
680	14503	6793
681	14520	6770
682	14537	6747
683	14558	6725
684	14581	6705
685	14602	6684
686	14631	6666
687	14655	6646
688	14675	6624
689	14693	6601
690	14711	6578
691	14733	6557
692	14755	6536
693	14776	6515
694	14795	6492
695	14817	6472
696	14834	6448
697	14851	6425
698	14871	6403
699	14891	6382
700	14914	6361
701	14933	6339
702	14954	6317
703	14973	6295
704	14992	6273
705	15014	6252
706	15033	6230
707	15054	6208
708	15076	6188
709	15095	6165
710	15120	6146
711	15142	6125
712	15167	6105
713	15185	6082
714	15203	6060
715	15226	6039
716	15242	6016
717	15260	5993
718	15277	5970
719	15297	5948
720	15325	5930
721	15346	5909
722	15370	5888
723	15387	5865
724	15405	5843
725	15425	5821
726	15447	5800
727	15467	5779
728	15483	5755
729	15503	5733
730	15520	5711
731	15542	5690
732	15559	5667
733	15578	5645
734	15599	5624
735	15617	5601
736	15639	5580
737	15656	5558
738	15675	5536
739	15695	5514
740	15714	5492
741	15732	5470
742	15751	5448
743	15773	5427
744	15792	5405
745	15811	5383
746	15827	5360
747	15846	5338
748	15867	5317
749	15887	5295
750	15910	5275
751	15929	5253
752	15950	5232
753	15970	5210
754	15991	5189
755	16012	5168
756	16033	5146
757	16052	5125
758	16073	5103
759	16093	5082
760	16111	5060
761	16129	5037
762	16152	5017
763	16173	4995
764	16197	4975
765	16215	4953
766	16235	4931
767	16252	4909
768	16270	4887
769	16292	4866
770	16312	4845
771	16331	4823
772	16349	4801
773	16368	4779
774	16390	4758
775	16413	4737
776	16433	4716
777	16454	4695
778	16476	4674
779	16504	4655
780	16532	4636
781	16562	4617
782	16591	4598
783	16611	4576
784	16631	4555
785	16656	4534
786	16685	4515
787	16707	4494
788	16727	4473
789	16745	4451
790	16770	4431
791	16791	4410
792	16811	4388
793	16832	4367
794	16853	4345
795	16873	4324
796	16900	4304
797	16922	4283
798	16940	4261
799	16959	4239
800	16979	4218
801	16998	4196
802	17019	4175
803	17040	4154
804	17059	4132
805	17080	4111
806	17105	4090
807	17125	4069
808	17143	4047
809	17161	4025
810	17178	4003
811	17196	3981
812	17215	3959
813	17236	3938
814	17258	3917
815	17276	3895
816	17297	3874
817	17318	3853
818	17340	3832
819	17361	3811
820	17381	3789
821	17400	3768
822	17424	3747
823	17443	3725
824	17461	3703
825	17481	3682
826	17502	3661
827	17525	3640
828	17547	3619
829	17569	3598
830	17588	3576
831	17610	3556
832	17629	3534
833	17649	3512
834	17669	3491
835	17690	3470
836	17711	3449
837	17738	3429
838	17757	3407
839	17774	3385
840	17794	3364
841	17818	3343
842	17836	3321
843	17858	3300
844	17877	3279
845	17897	3257
846	17915	3236
847	17934	3214
848	17956	3193
849	17980	3173
850	17999	3151
851	18020	3130
852	18037	3108
853	18057	3087
854	18074	3065
855	18095	3044
856	18116	3022
857	18135	3001
858	18155	2980
859	18177	2959
860	18202	2938
861	18222	2917
862	18241	2895
863	18259	2874
864	18281	2853
