iter	RMSE
0	22.27422884
1	21.67872663
2	21.16755939
3	20.72392133
4	20.33894633
5	20.00820909
6	19.7190118
7	19.42958576
8	19.14354228
9	18.92058508
10	18.70985143
11	18.53881892
12	18.36817466
13	18.23439828
14	18.12128452
15	17.9755737
16	17.87911393
17	17.75679737
18	17.66099773
19	17.57653337
20	17.478825
21	17.40902611
22	17.33567108
23	17.25686066
24	17.18451068
25	17.07841005
26	17.0170307
27	16.97542831
28	16.93447602
29	16.88086599
30	16.79386486
31	16.74585031
32	16.71335709
33	16.66961929
34	16.62250792
35	16.58762463
36	16.52528208
37	16.4940869
38	16.4556317
39	16.42256297
40	16.37443786
41	16.33925289
42	16.31767019
43	16.28709502
44	16.25690298
45	16.21135978
46	16.17376137
47	16.14219984
48	16.10468233
49	16.07407761
50	16.04414053
51	16.0150382
52	15.98530102
53	15.95827147
54	15.9392088
55	15.91343412
56	15.87976228
57	15.84111266
58	15.82453325
59	15.80131298
60	15.77607072
61	15.75015391
62	15.71420612
63	15.69451674
64	15.68080444
65	15.65684465
66	15.64210055
67	15.61526615
68	15.595059
69	15.58336143
70	15.54815252
71	15.53077657
72	15.50992659
73	15.49206941
74	15.47067923
75	15.45371393
76	15.43810747
77	15.42029459
78	15.40476319
79	15.3969777
80	15.37649173
81	15.36316672
82	15.34095871
83	15.33151553
84	15.31306723
85	15.2912717
86	15.28023299
87	15.27180073
88	15.25801438
89	15.24359483
90	15.210638
91	15.19645096
92	15.18287107
93	15.17337241
94	15.16141155
95	15.14723902
96	15.13245382
97	15.11847022
98	15.1010345
99	15.09226544
100	15.07704514
101	15.05948521
102	15.04407113
103	15.02844315
104	15.01873193
105	15.01127511
106	14.994929
107	14.98653859
108	14.97682055
109	14.96671037
110	14.95507406
111	14.94358698
112	14.91486592
113	14.90322303
114	14.89308616
115	14.88625661
116	14.87306807
117	14.86199511
118	14.8482949
119	14.83761372
120	14.82741616
121	14.82175537
122	14.81376089
123	14.80199186
124	14.79328724
125	14.78607716
126	14.77716013
127	14.75739986
128	14.75011182
129	14.7402443
130	14.72830251
131	14.71369679
132	14.70016959
133	14.68752885
134	14.68009602
135	14.66559404
136	14.65758313
137	14.64765432
138	14.63733787
139	14.6270621
140	14.62171513
141	14.61374019
142	14.60085868
143	14.58912106
144	14.5801468
145	14.57059812
146	14.55947908
147	14.55056259
148	14.53477077
149	14.52609143
150	14.51849195
151	14.5090928
152	14.49331438
153	14.4826758
154	14.47504886
155	14.46733907
156	14.45482726
157	14.44369368
158	14.43368282
159	14.42875242
160	14.41973853
161	14.40959041
162	14.4020005
163	14.39321503
164	14.38708703
165	14.38012842
166	14.37163607
167	14.36584738
168	14.3571528
169	14.3500773
170	14.34006329
171	14.33204501
172	14.32623223
173	14.31822075
174	14.31008367
175	14.30249754
176	14.28790137
177	14.28011022
178	14.2720909
179	14.26581135
180	14.25775354
181	14.25331928
182	14.24392197
183	14.23545737
184	14.22894857
185	14.21886451
186	14.21449602
187	14.20951728
188	14.20022846
189	14.19670147
190	14.19057095
191	14.18388869
192	14.17814625
193	14.17179992
194	14.16438281
195	14.15662322
196	14.14828157
197	14.14287602
198	14.13416141
199	14.12979178
200	14.12399192
201	14.11508459
202	14.11110606
203	14.10528242
204	14.0980543
